Parameter,Value
GTID,dhardiman6
1_Mean Absolute Error,3429.433053
1_Root Mean Squared Error,4407.536669
1_Relative Absolute Error,0.974516
1_Relative Squared Error,1.047278
1_Coefficient of Determination,-0.047278
2_Mean Absolute Error,3594.116518
2_Root Mean Squared Error,4653.138018
2_Relative Absolute Error,0.990522
2_Relative Squared Error,1.205563
2_Coefficient of Determination,-0.205563
3_Root Mean Squared Error (RMSE) for 1st fold,3499.732947
3_Root Mean Squared Error (RMSE) for 2nd fold,2639.52807
3_Root Mean Squared Error (RMSE) for 3rd fold,3250.71384
3_Root Mean Squared Error (RMSE) for 4th fold,4778.487808
3_Root Mean Squared Error (RMSE) for 5th fold,2206.870373
3_Coefficient of Determination for 1st fold,0.781472
3_Coefficient of Determination for 2nd fold,0.855358
3_Coefficient of Determination for 3rd fold,0.852454
3_Coefficient of Determination for 4th fold,0.788406
3_Coefficient of Determination for 5th fold,0.811673
